order_item_id,order_id,product_id,quantity,price
215,87,321,4,855.48
216,426,197,3,3533.87
217,464,493,1,4480.78
218,422,96,1,1007.65
219,206,315,2,1247.41
220,128,389,1,4930.07
221,322,432,4,3157.27
222,277,350,1,4285.18
223,88,83,4,4751.95
224,396,245,3,4807.46
225,247,424,3,2476.02
226,168,493,4,3173.98
227,427,446,5,3965.78
228,301,457,2,648.06
229,490,40,5,2268.82
230,139,57,5,4894.33
231,330,73,4,4845.53
232,357,331,1,3452.05
233,361,178,4,1204.37
234,270,142,1,4957.07
235,229,2,4,3739.83
236,324,253,3,3574.34
237,65,237,2,1144.56
238,245,228,3,3009.7
239,39,89,2,800.82
240,107,142,2,393.99
241,461,411,2,1438.31
242,84,236,1,3462.86
243,289,50,1,4555.35
244,212,406,2,564.13
245,68,383,1,2090.48
246,256,335,4,1764.77
247,390,434,5,3120.28
248,70,171,3,292.3
249,141,266,5,1855.91
250,408,334,3,957.3
251,230,500,4,3157.02
252,438,419,1,2424.36
253,16,105,5,4740.65
254,140,100,5,3972.48
255,349,337,3,187.94
256,479,36,2,1263.48
257,462,85,1,3537.58
258,13,282,1,3637.74
259,73,60,5,783.44
260,34,347,5,3813.02
261,448,363,2,1618.5
262,149,279,1,4632.08
263,388,194,1,1601.65
264,261,141,3,708.77
265,280,395,4,3419.32
266,64,240,4,1010.98
267,128,419,5,4683.36
268,151,390,5,1294.11
269,235,380,2,3809.89
270,224,478,3,1865.26
271,421,297,4,386.52
272,321,427,1,376.92
273,469,480,3,2980.35
274,41,247,5,1933.28
275,2,328,2,787.65
276,431,339,3,3134.53
277,460,220,5,1926.48
278,410,171,2,3524.67
279,176,69,2,1880.88
280,458,318,4,4165.8
281,418,366,1,865.05
282,135,334,1,3179.01
283,268,362,3,2705.81
284,468,103,5,2816.52
285,488,49,5,4616.01
286,299,327,1,4283.33
287,89,408,2,2267.71
288,121,64,5,979.62
289,191,180,3,4691.17
290,204,81,2,4737.08
291,422,138,3,2761.14
292,166,466,4,3728.71
293,106,219,2,1456.21
294,349,228,3,4772.64
295,205,247,5,538.24
296,181,119,1,3015.73
297,418,270,1,3832.8
298,164,320,2,1494.96
299,129,408,5,3826.28
300,221,340,4,953.62
301,37,493,3,4712.74
302,479,164,2,1555.03
303,441,119,4,1257.33
304,215,446,2,2080.0
305,171,211,3,3672.56
306,485,302,5,278.55
307,172,313,2,4758.28
308,449,275,2,4121.26
309,63,423,4,853.71
310,329,304,4,109.31
311,469,492,4,3420.53
312,271,15,2,860.92
313,344,263,2,4314.38
314,397,129,3,3758.64
315,99,390,1,3850.47
316,409,380,4,3788.56
317,281,422,4,1256.09
318,337,143,2,1844.87
319,356,317,4,775.66
320,468,357,5,598.09
321,89,4,3,3275.42
322,484,102,2,1422.35
323,423,310,3,3803.47
324,41,371,4,2592.13
325,431,128,4,1474.49
326,226,438,5,1998.76
327,124,361,2,1717.72
328,205,187,1,4123.46
329,250,274,1,1236.91
330,144,279,1,1460.45
331,118,128,4,3844.08
332,417,15,1,4567.45
333,240,99,3,4026.63
334,86,361,3,4274.78
335,241,185,4,3525.02
336,445,443,4,109.59
337,40,75,2,1390.52
338,265,201,3,3949.09
339,277,122,4,1806.76
340,350,474,3,1075.79
341,278,184,1,2215.59
342,222,82,2,1735.91
343,368,4,5,2809.56
344,186,102,1,4171.71
345,80,385,1,3195.17
346,6,256,3,3759.01
347,329,460,1,523.03
348,448,274,4,1024.13
349,38,473,1,2878.68
350,263,300,3,2025.86
351,417,230,4,3578.69
352,316,445,4,4102.37
353,395,289,4,1658.35
354,207,365,4,240.21
355,496,336,3,3965.8
356,162,82,2,3652.75
357,268,188,1,4390.4
358,221,294,3,2639.43
359,67,251,4,2464.14
360,324,126,4,1051.24
361,438,137,1,2597.46
362,245,467,1,2705.99
363,248,337,5,3103.47
364,440,350,1,2769.46
365,81,36,3,3805.96
366,487,368,1,902.91
367,377,267,3,1934.74
368,303,132,1,2007.39
369,494,249,1,230.41
370,251,373,3,221.07
371,293,48,5,3023.97
372,62,409,1,1423.72
373,149,3,3,2097.39
374,341,232,4,1698.69
375,85,89,4,1641.09
376,42,96,4,2783.41
377,84,121,5,2763.94
378,290,257,2,1782.95
379,199,52,1,3721.99
380,210,261,2,1978.45
381,149,151,4,3673.58
382,442,179,5,145.98
383,90,233,4,3362.22
384,390,333,2,2486.84
385,393,62,1,2543.96
386,339,43,1,1817.02
387,365,138,1,2890.49
388,437,171,5,3823.67
389,210,310,1,2780.01
390,448,176,1,4916.14
391,277,389,4,2670.63
392,218,229,4,3163.48
393,71,188,4,2178.67
394,18,43,4,742.7
395,366,422,4,2120.15
396,333,219,5,2803.4
397,219,67,1,2113.8
398,451,213,4,4596.89
399,244,16,4,4190.22
400,481,211,5,1805.51
401,228,334,5,2786.94
402,275,177,1,794.87
403,293,370,4,4203.51
404,236,339,3,1504.48
405,147,214,2,1901.43
406,61,8,5,1609.39
407,82,371,2,3904.55
408,202,25,3,325.79
409,429,271,5,2253.7
410,192,423,3,4032.13
411,35,234,3,812.06
412,232,380,3,4162.7
413,254,435,4,1579.96
414,125,125,4,4217.0
415,198,29,4,1989.82
416,48,401,1,3254.76
417,150,286,2,3038.53
418,430,459,5,2970.7
419,366,291,1,3414.43
420,254,359,5,143.6
421,168,199,5,312.21
422,130,199,5,2618.5
423,93,343,2,3579.26
424,369,386,2,4600.05
425,411,165,2,4071.06
426,311,239,4,2310.42
427,278,243,2,3757.74
428,270,357,2,1344.24
429,29,86,3,2406.67
430,21,117,2,283.49
431,91,83,5,4074.12
432,110,373,2,618.05
433,380,500,5,3417.83
434,447,86,1,2645.4
435,104,487,3,1284.33
436,125,44,2,1914.62
437,436,124,4,2528.77
438,185,275,2,4072.69
439,168,26,3,642.99
440,384,16,4,519.66
441,163,345,3,1091.07
442,17,267,2,4505.83
443,402,311,4,3087.36
444,243,301,5,4044.69
445,389,64,2,898.27
446,128,170,3,3603.57
447,311,6,5,1078.54
448,319,326,1,809.69
449,324,124,1,1338.47
450,62,124,2,2601.04
451,332,295,4,3653.69
452,365,256,5,3980.76
453,53,63,3,1619.41
454,52,230,2,2023.39
455,119,66,1,2022.48
456,8,336,4,254.74
457,398,135,1,1174.36
458,100,385,1,4877.95
459,70,283,2,2673.58
460,66,179,1,4744.29
461,59,111,1,4094.52
462,400,203,3,3646.21
463,183,340,1,2092.73
464,127,442,4,1551.82
465,357,231,4,3255.23
466,60,381,2,4146.83
467,419,140,2,3637.52
468,48,321,3,2026.23
469,228,330,3,623.8
470,204,166,2,2648.81
471,380,233,2,4687.72
472,337,170,1,3669.91
473,323,240,1,2651.62
474,325,403,1,2503.58
475,471,325,4,4503.98
476,319,394,3,735.0
477,296,302,5,4005.93
478,422,305,4,396.26
479,170,434,3,4580.85
480,151,476,3,3756.25
481,237,389,2,2465.24
482,490,308,3,2939.13
483,189,339,4,3922.07
484,374,486,3,665.63
485,411,150,2,1367.08
486,275,185,2,4993.71
487,365,383,1,3511.02
488,147,360,4,3555.75
489,142,172,4,2275.84
490,469,195,4,4281.26
491,450,309,2,653.49
492,436,349,3,1626.58
493,162,112,2,3896.79
494,163,132,3,4768.23
495,373,262,2,2968.58
496,371,4,1,2513.92
497,138,378,2,4738.32
498,268,429,2,4051.45
499,42,176,3,3597.53
500,192,455,5,2047.3
